2024-09-03 21:32:48,73%
2024-09-03 21:33:48,73%
2024-09-03 21:34:48,70%
2024-09-03 21:35:48,70%
2024-09-03 21:36:48,68%
2024-09-03 21:37:49,68%
2024-09-03 21:38:49,65%
2024-09-03 21:39:49,65%
2024-09-03 21:40:49,63%
2024-09-03 21:41:49,63%
2024-09-03 21:42:49,60%
2024-09-03 21:43:49,60%
2024-09-03 21:44:49,57%
2024-09-03 21:45:49,57%
2024-09-03 21:46:49,54%
2024-09-03 21:47:49,54%
2024-09-03 21:48:49,51%
2024-09-03 21:49:49,51%
2024-09-03 21:50:49,48%
2024-09-03 21:51:50,48%
2024-09-03 21:52:50,45%
2024-09-03 21:53:50,45%
2024-09-03 21:54:50,42%
2024-09-03 21:55:50,42%
2024-09-03 21:56:50,39%
2024-09-03 21:57:50,39%
2024-09-03 21:58:51,36%
2024-09-03 21:59:51,36%
2024-09-03 22:00:51,33%
2024-09-03 22:01:51,33%
2024-09-03 22:02:51,30%
2024-09-03 22:03:51,30%
2024-09-03 22:04:51,27%
2024-09-03 22:05:51,27%
2024-09-03 22:06:52,25%
2024-09-03 22:07:52,25%
2024-09-03 22:08:52,22%
2024-09-03 22:09:52,22%
2024-09-03 22:10:52,18%
2024-09-03 22:11:52,17%
2024-09-03 22:12:52,17%
2024-09-03 22:13:52,17%
2024-09-03 22:14:52,17%
2024-09-03 22:15:52,17%
2024-09-03 22:16:52,17%
2024-09-03 22:17:52,18%
2024-09-03 22:18:52,18%
2024-09-03 22:19:52,20%
2024-09-03 22:20:53,20%
2024-09-03 22:21:53,22%
2024-09-03 22:22:53,22%
2024-09-03 22:23:53,24%
2024-09-03 22:24:53,24%
2024-09-03 22:25:53,26%
2024-09-03 22:26:53,26%
2024-09-03 22:27:53,28%
2024-09-03 22:28:53,28%
2024-09-03 22:29:53,31%
2024-09-03 22:30:53,31%
2024-09-03 22:31:53,33%
2024-09-03 22:32:53,33%
2024-09-03 22:33:53,35%
2024-09-03 22:34:53,35%
2024-09-03 22:35:53,38%
2024-09-03 22:36:54,38%
2024-09-03 22:37:54,40%
2024-09-03 22:38:54,40%
2024-09-03 22:39:54,42%
2024-09-03 22:40:54,42%
2024-09-03 22:41:54,45%
2024-09-03 22:42:54,45%
2024-09-03 22:43:54,47%
2024-09-03 22:44:54,47%
2024-09-03 22:45:54,49%
2024-09-03 22:46:54,49%
2024-09-03 22:47:54,52%
2024-09-03 22:48:54,52%
2024-09-03 22:49:54,54%
2024-09-03 22:50:54,54%
2024-09-03 22:51:54,57%
2024-09-03 22:52:54,57%
2024-09-03 22:53:54,59%
2024-09-03 22:54:54,59%
2024-09-03 22:55:54,62%
2024-09-03 22:56:54,62%
2024-09-03 22:57:55,64%
2024-09-03 22:58:55,64%
2024-09-03 22:59:55,66%
2024-09-03 23:00:55,66%
2024-09-03 23:01:55,69%
2024-09-03 23:02:55,69%
2024-09-03 23:03:55,71%
2024-09-03 23:04:55,71%
2024-09-03 23:05:55,73%
2024-09-03 23:06:55,73%
2024-09-03 23:07:55,76%
2024-09-03 23:08:55,76%
2024-09-03 23:09:55,78%
2024-09-03 23:10:55,78%
2024-09-03 23:11:55,80%
2024-09-03 23:12:55,80%
2024-09-03 23:13:55,82%
2024-09-03 23:14:55,82%
2024-09-03 23:15:55,84%
2024-09-03 23:16:56,84%
2024-09-03 23:17:56,85%
2024-09-03 23:18:56,85%
2024-09-03 23:19:56,86%
2024-09-03 23:20:56,86%
2024-09-03 23:21:56,88%
2024-09-04 06:04:14,86%
2024-09-04 06:05:14,86%
2024-09-04 06:06:14,83%
2024-09-04 06:07:14,83%
2024-09-04 06:08:15,81%
2024-09-04 06:23:25,80%
2024-09-04 06:24:26,80%
2024-09-04 06:25:26,78%
2024-09-04 06:26:26,78%
2024-09-04 06:27:26,76%
2024-09-04 06:28:26,76%
2024-09-04 06:29:26,74%
2024-09-04 06:30:26,74%
2024-09-04 06:31:26,72%
2024-09-04 06:32:26,72%
2024-09-04 06:33:26,70%
2024-09-04 06:34:26,70%
2024-09-04 06:35:26,69%
2024-09-04 06:36:26,69%
2024-09-04 06:37:27,67%
2024-09-04 06:38:27,67%
2024-09-04 06:39:27,65%
2024-09-04 06:40:27,65%
2024-09-04 06:41:27,63%
2024-09-04 06:42:27,63%
2024-09-04 06:43:27,60%
2024-09-04 06:44:27,60%
2024-09-04 06:45:27,58%
