Timestamp,Battery_Percentage
2024-07-31 02:28:49,98%
2024-07-31 02:29:20,98%
2024-07-31 02:29:49,98%
2024-07-31 02:30:20,98%
2024-07-31 02:30:49,98%
2024-07-31 02:31:20,98%
2024-07-31 02:31:49,98%
2024-07-31 02:32:20,98%
2024-07-31 02:32:49,98%
2024-07-31 02:33:20,100%
2024-07-31 02:33:49,100%
2024-07-31 02:34:20,100%
2024-07-31 02:34:49,100%
2024-07-31 02:35:20,100%
2024-07-31 02:35:49,100%
2024-07-31 02:36:20,100%
2024-07-31 02:36:49,100%
2024-07-31 02:37:20,100%
2024-07-31 02:37:49,100%
2024-07-31 02:38:20,100%
2024-07-31 02:38:49,100%
2024-07-31 02:39:20,100%
2024-07-31 02:39:49,100%
2024-07-31 02:40:20,100%
2024-07-31 02:40:49,100%
2024-07-31 02:41:21,100%
2024-07-31 02:41:50,100%
2024-07-31 02:42:21,100%
2024-07-31 02:42:50,100%
2024-07-31 02:43:21,100%
2024-07-31 02:43:50,100%
2024-07-31 02:44:21,100%
2024-07-31 02:44:50,100%
2024-07-31 02:45:21,100%
2024-07-31 02:45:50,100%
2024-07-31 02:46:21,100%
2024-07-31 02:46:50,100%
2024-07-31 02:47:21,100%
2024-07-31 02:47:50,100%
2024-07-31 02:48:21,100%
2024-07-31 02:48:50,100%
2024-07-31 02:49:21,100%
2024-07-31 02:49:50,100%
2024-07-31 02:50:21,100%
2024-07-31 02:50:50,100%
2024-07-31 02:51:21,100%
2024-07-31 02:51:50,100%
2024-07-31 02:52:21,100%
2024-07-31 02:52:50,100%
2024-07-31 02:53:21,100%
2024-07-31 02:53:50,100%
2024-07-31 02:54:21,100%
2024-07-31 02:54:50,100%
2024-07-31 02:55:21,100%
2024-07-31 02:55:50,100%
2024-07-31 02:56:21,100%
2024-07-31 02:56:50,100%
2024-07-31 02:57:21,100%
2024-07-31 02:57:50,100%
2024-07-31 02:58:21,100%
2024-07-31 02:58:50,100%
2024-07-31 02:59:21,100%
2024-07-31 02:59:50,100%
2024-07-31 03:00:21,100%
2024-07-31 03:00:50,100%
2024-07-31 03:01:21,100%
2024-07-31 03:01:50,100%
2024-07-31 03:02:21,100%
2024-07-31 03:02:50,100%
2024-07-31 03:03:21,100%
2024-07-31 03:03:51,100%
2024-07-31 03:04:22,100%
2024-07-31 03:04:51,100%
2024-07-31 03:05:22,100%
2024-07-31 03:05:51,100%
2024-07-31 03:06:22,100%
2024-07-31 03:06:51,100%
2024-07-31 03:07:22,100%
2024-07-31 03:07:51,100%
2024-07-31 03:08:22,100%
2024-07-31 03:08:51,100%
2024-07-31 03:09:22,100%
2024-07-31 03:09:51,100%
2024-07-31 03:10:22,100%
2024-07-31 03:10:51,100%
2024-07-31 03:11:22,100%
2024-07-31 03:11:51,100%
2024-07-31 03:12:22,100%
2024-07-31 03:12:51,100%
2024-07-31 03:13:22,100%
2024-07-31 03:13:51,100%
2024-07-31 03:14:22,100%
2024-07-31 03:14:51,100%
2024-07-31 03:15:22,100%
2024-07-31 03:15:51,100%
2024-07-31 03:16:22,100%
2024-07-31 03:16:51,100%
2024-07-31 03:17:22,100%
2024-07-31 03:17:51,100%
2024-07-31 03:18:22,100%
2024-07-31 03:18:51,100%
2024-07-31 03:19:22,100%
2024-07-31 03:19:51,100%
2024-07-31 03:20:22,100%
2024-07-31 03:20:51,100%
2024-07-31 03:21:22,100%
2024-07-31 03:21:51,100%
2024-07-31 03:22:22,100%
2024-07-31 03:22:51,100%
2024-07-31 03:23:22,100%
2024-07-31 03:23:51,100%
2024-07-31 03:24:22,100%
2024-07-31 03:24:51,100%
2024-07-31 03:25:22,100%
2024-07-31 03:25:52,100%
2024-07-31 03:26:23,100%
2024-07-31 03:26:52,100%
2024-07-31 03:27:23,100%
2024-07-31 03:27:52,100%
2024-07-31 03:28:23,100%
2024-07-31 03:28:52,100%
2024-07-31 03:29:23,100%
2024-07-31 03:29:52,100%
2024-07-31 03:30:23,100%
2024-07-31 03:30:52,100%
2024-07-31 03:31:23,100%
2024-07-31 03:31:52,100%
2024-07-31 03:32:23,100%
2024-07-31 03:32:52,100%
2024-07-31 03:33:23,100%
2024-07-31 03:33:52,100%
2024-07-31 03:34:23,100%
2024-07-31 03:34:52,100%
2024-07-31 03:35:23,100%
2024-07-31 03:35:52,100%
2024-07-31 03:36:23,100%
2024-07-31 03:36:52,100%
2024-07-31 03:37:23,100%
2024-07-31 03:37:52,100%
2024-07-31 03:38:23,100%
2024-07-31 03:38:52,100%
2024-07-31 03:39:23,100%
2024-07-31 03:39:52,100%
2024-07-31 03:40:23,100%
2024-07-31 03:40:52,100%
2024-07-31 03:41:23,100%
2024-07-31 03:41:52,100%
2024-07-31 03:42:23,100%
2024-07-31 03:42:52,100%
2024-07-31 03:43:23,100%
2024-07-31 03:43:52,100%
2024-07-31 03:44:23,100%
2024-07-31 03:44:52,100%
2024-07-31 03:45:23,100%
2024-07-31 03:45:52,100%
2024-07-31 03:46:23,100%
2024-07-31 03:46:52,100%
2024-07-31 03:47:23,100%
2024-07-31 03:47:52,100%
2024-07-31 03:48:23,100%
2024-07-31 03:48:53,100%
2024-07-31 03:49:24,100%
2024-07-31 03:49:53,100%
2024-07-31 03:50:24,100%
2024-07-31 03:50:53,100%
2024-07-31 03:51:24,100%
2024-07-31 03:51:53,100%
2024-07-31 03:52:24,100%
2024-07-31 03:52:53,100%
2024-07-31 03:53:24,100%
2024-07-31 03:53:53,100%
2024-07-31 03:54:24,100%
2024-07-31 03:54:53,100%
2024-07-31 03:55:24,100%
2024-07-31 03:55:53,100%
2024-07-31 03:56:24,100%
2024-07-31 03:56:53,100%
2024-07-31 03:57:24,100%
2024-07-31 03:57:53,100%
2024-07-31 03:58:24,100%
2024-07-31 03:58:53,100%
2024-07-31 03:59:24,100%
2024-07-31 03:59:53,100%
2024-07-31 04:00:24,100%
2024-07-31 04:00:53,100%
2024-07-31 04:01:24,100%
2024-07-31 04:01:53,100%
2024-07-31 04:02:24,100%
2024-07-31 04:02:53,100%
2024-07-31 04:03:24,100%
2024-07-31 04:03:53,100%
2024-07-31 04:04:24,100%
2024-07-31 04:04:53,100%
2024-07-31 04:05:24,100%
2024-07-31 04:05:53,100%
2024-07-31 04:06:24,100%
2024-07-31 04:06:53,100%
2024-07-31 04:07:24,100%
2024-07-31 04:07:53,100%
2024-07-31 04:08:24,100%
2024-07-31 04:08:54,100%
2024-07-31 04:09:24,100%
2024-07-31 04:09:54,100%
2024-07-31 04:10:24,100%
2024-07-31 04:10:54,100%
2024-07-31 04:11:25,100%
2024-07-31 04:11:54,100%
2024-07-31 04:12:25,100%
2024-07-31 04:12:54,100%
2024-07-31 04:13:25,100%
2024-07-31 04:13:54,100%
2024-07-31 04:14:25,100%
2024-07-31 04:14:54,100%
2024-07-31 04:15:25,100%
2024-07-31 04:15:54,100%
2024-07-31 04:16:25,100%
2024-07-31 04:16:54,100%
2024-07-31 04:17:25,100%
2024-07-31 04:17:54,100%
2024-07-31 04:18:25,100%
2024-07-31 04:18:54,100%
2024-07-31 04:19:25,100%
2024-07-31 04:19:54,100%
2024-07-31 04:20:25,100%
2024-07-31 04:20:54,100%
2024-07-31 04:21:25,100%
2024-07-31 04:21:54,100%
2024-07-31 04:22:25,100%
2024-07-31 04:22:54,100%
2024-07-31 04:23:25,100%
2024-07-31 04:23:54,100%
2024-07-31 04:24:25,100%
2024-07-31 04:24:54,100%
2024-07-31 04:25:25,100%
2024-07-31 04:25:54,100%
2024-07-31 04:26:25,100%
2024-07-31 04:26:54,100%
2024-07-31 04:27:25,100%
2024-07-31 04:27:54,100%
2024-07-31 04:28:25,100%
2024-07-31 04:28:54,100%
2024-07-31 04:29:25,100%
2024-07-31 04:29:54,100%
2024-07-31 04:30:25,100%
2024-07-31 04:30:55,100%
2024-07-31 04:31:25,100%
2024-07-31 04:31:55,100%
2024-07-31 04:32:25,100%
2024-07-31 04:32:55,100%
2024-07-31 04:33:25,100%
2024-07-31 04:33:55,100%
2024-07-31 04:34:26,100%
2024-07-31 04:34:55,100%
2024-07-31 04:35:26,100%
2024-07-31 04:35:55,100%
2024-07-31 04:36:26,100%
2024-07-31 04:36:55,100%
2024-07-31 04:37:26,100%
2024-07-31 04:37:55,100%
2024-07-31 04:38:26,100%
2024-07-31 04:38:55,100%
2024-07-31 04:39:26,100%
2024-07-31 04:39:55,100%
2024-07-31 04:40:26,100%
2024-07-31 04:40:55,100%
2024-07-31 04:41:26,100%
2024-07-31 04:41:55,100%
2024-07-31 04:42:26,100%
2024-07-31 04:42:55,100%
2024-07-31 04:43:26,100%
2024-07-31 04:43:55,100%
2024-07-31 04:44:26,100%
2024-07-31 04:44:55,100%
2024-07-31 04:45:26,100%
2024-07-31 04:45:55,100%
2024-07-31 04:46:26,100%
2024-07-31 04:46:55,100%
2024-07-31 04:47:26,100%
2024-07-31 04:47:55,100%
2024-07-31 04:48:26,100%
2024-07-31 04:48:55,100%
2024-07-31 04:49:26,100%
2024-07-31 04:49:55,100%
2024-07-31 04:50:26,100%
2024-07-31 04:50:55,100%
2024-07-31 04:51:26,100%
2024-07-31 04:51:55,100%
2024-07-31 04:52:26,100%
2024-07-31 04:52:55,100%
2024-07-31 04:53:26,100%
2024-07-31 04:53:56,100%
2024-07-31 04:54:26,100%
2024-07-31 04:54:56,100%
2024-07-31 04:55:26,100%
2024-07-31 04:55:56,100%
2024-07-31 04:56:27,100%
2024-07-31 04:56:56,100%
2024-07-31 04:57:27,100%
2024-07-31 04:57:56,100%
2024-07-31 04:58:27,100%
2024-07-31 04:58:56,100%
2024-07-31 04:59:27,100%
2024-07-31 04:59:56,100%
2024-07-31 05:00:27,100%
2024-07-31 05:00:56,100%
2024-07-31 05:01:27,100%
2024-07-31 05:01:56,100%
2024-07-31 05:02:27,100%
2024-07-31 05:02:56,100%
2024-07-31 05:03:27,100%
2024-07-31 05:03:56,100%
2024-07-31 05:04:27,100%
2024-07-31 05:04:56,100%
2024-07-31 05:05:27,100%
2024-07-31 05:05:56,100%
2024-07-31 05:06:27,100%
2024-07-31 05:06:56,100%
2024-07-31 05:07:27,100%
2024-07-31 05:07:56,100%
2024-07-31 05:08:27,100%
2024-07-31 05:08:56,100%
2024-07-31 05:09:27,100%
2024-07-31 05:09:56,100%
2024-07-31 05:10:27,100%
2024-07-31 05:10:56,100%
2024-07-31 05:11:27,100%
2024-07-31 05:11:56,100%
2024-07-31 05:12:27,100%
2024-07-31 05:12:56,100%
2024-07-31 05:13:27,100%
2024-07-31 05:13:56,100%
2024-07-31 05:14:27,100%
2024-07-31 05:14:56,100%
2024-07-31 05:15:27,100%
2024-07-31 05:15:57,100%
2024-07-31 05:16:27,100%
2024-07-31 05:16:57,100%
2024-07-31 05:17:27,100%
2024-07-31 05:17:57,100%
2024-07-31 05:18:28,100%
2024-07-31 05:18:57,100%
2024-07-31 05:19:28,100%
2024-07-31 05:19:57,100%
2024-07-31 05:20:28,100%
2024-07-31 05:20:57,100%
2024-07-31 05:21:28,100%
2024-07-31 05:21:57,100%
2024-07-31 05:22:28,100%
2024-07-31 05:22:57,100%
2024-07-31 05:23:28,100%
2024-07-31 05:23:57,100%
2024-07-31 05:24:28,100%
2024-07-31 05:24:57,100%
2024-07-31 05:25:28,100%
2024-07-31 05:25:57,100%
2024-07-31 05:26:28,100%
2024-07-31 05:26:57,100%
2024-07-31 05:27:28,100%
2024-07-31 05:27:57,100%
2024-07-31 05:28:28,100%
2024-07-31 05:28:57,100%
2024-07-31 05:29:28,100%
2024-07-31 05:29:57,100%
2024-07-31 05:30:28,100%
2024-07-31 05:30:57,100%
2024-07-31 05:31:28,100%
2024-07-31 05:31:57,100%
2024-07-31 05:32:28,100%
2024-07-31 05:32:57,100%
2024-07-31 05:33:28,100%
2024-07-31 05:33:57,100%
2024-07-31 05:34:28,100%
2024-07-31 05:34:57,100%
2024-07-31 05:35:28,100%
2024-07-31 05:35:57,100%
2024-07-31 05:36:28,100%
2024-07-31 05:36:57,100%
2024-07-31 05:37:28,100%
2024-07-31 05:37:58,100%
2024-07-31 05:38:28,100%
2024-07-31 05:38:58,100%
2024-07-31 05:39:28,100%
2024-07-31 05:39:58,100%
2024-07-31 05:40:28,100%
2024-07-31 05:40:58,100%
2024-07-31 05:41:29,100%
2024-07-31 05:41:58,100%
2024-07-31 05:42:29,100%
2024-07-31 05:42:58,100%
2024-07-31 05:43:29,100%
2024-07-31 05:43:58,100%
2024-07-31 05:44:29,100%
2024-07-31 05:44:58,100%
2024-07-31 05:45:29,100%
2024-07-31 05:45:58,100%
2024-07-31 05:46:29,100%
2024-07-31 05:46:58,100%
2024-07-31 05:47:29,100%
2024-07-31 05:47:58,100%
2024-07-31 05:48:29,100%
2024-07-31 05:48:58,100%
2024-07-31 05:49:29,100%
2024-07-31 05:49:58,100%
2024-07-31 05:50:29,100%
2024-07-31 05:50:58,100%
2024-07-31 05:51:29,100%
2024-07-31 05:51:58,100%
2024-07-31 05:52:29,100%
2024-07-31 05:52:58,100%
2024-07-31 05:53:29,100%
2024-07-31 05:53:58,100%
2024-07-31 05:54:29,100%
2024-07-31 05:54:58,100%
2024-07-31 05:55:29,100%
2024-07-31 05:55:58,100%
2024-07-31 05:56:29,100%
2024-07-31 05:56:58,100%
2024-07-31 05:57:29,100%
2024-07-31 05:57:58,100%
2024-07-31 05:58:29,100%
2024-07-31 05:58:58,100%
2024-07-31 05:59:29,100%
2024-07-31 05:59:58,100%
2024-07-31 06:00:29,100%
2024-07-31 06:00:59,100%
2024-07-31 06:01:29,100%
2024-07-31 06:01:59,100%
2024-07-31 06:02:29,100%
2024-07-31 06:02:59,100%
2024-07-31 06:03:30,100%
2024-07-31 06:03:59,100%
2024-07-31 06:04:30,100%
2024-07-31 06:04:59,100%
2024-07-31 06:05:30,100%
2024-07-31 06:05:59,100%
2024-07-31 06:06:30,100%
2024-07-31 06:06:59,100%
2024-07-31 06:07:30,100%
2024-07-31 06:07:59,100%
2024-07-31 06:08:30,100%
2024-07-31 06:08:59,100%
2024-07-31 06:09:30,100%
2024-07-31 06:09:59,100%
2024-07-31 06:10:30,100%
2024-07-31 06:10:59,100%
2024-07-31 06:11:30,100%
2024-07-31 06:11:59,100%
2024-07-31 06:12:30,100%
2024-07-31 06:12:59,100%
2024-07-31 06:13:30,100%
2024-07-31 06:13:59,100%
2024-07-31 06:14:30,100%
2024-07-31 06:14:59,100%
2024-07-31 06:15:30,100%
2024-07-31 06:15:59,100%
2024-07-31 06:16:30,100%
2024-07-31 06:16:59,100%
2024-07-31 06:17:30,100%
2024-07-31 06:17:59,100%
2024-07-31 06:18:30,100%
2024-07-31 06:18:59,100%
2024-07-31 06:19:30,100%
2024-07-31 06:19:59,100%
2024-07-31 06:20:30,100%
2024-07-31 06:20:59,100%
2024-07-31 06:21:30,100%
2024-07-31 06:21:59,100%
2024-07-31 06:22:30,100%
2024-07-31 06:23:00,100%
2024-07-31 06:23:30,100%
2024-07-31 06:24:00,100%
2024-07-31 06:24:30,100%
2024-07-31 06:25:00,100%
2024-07-31 06:25:30,100%
2024-07-31 06:26:00,100%
2024-07-31 06:26:31,100%
2024-07-31 06:27:00,100%
2024-07-31 06:27:31,100%
2024-07-31 06:28:00,100%
2024-07-31 06:28:31,100%
2024-07-31 06:29:00,100%
2024-07-31 06:29:31,100%
2024-07-31 06:30:00,100%
2024-07-31 06:30:31,100%
2024-07-31 06:31:00,100%
2024-07-31 06:31:31,100%
2024-07-31 06:32:00,100%
2024-07-31 06:32:31,100%
2024-07-31 06:33:00,100%
2024-07-31 06:33:31,100%
2024-07-31 06:34:00,100%
2024-07-31 06:34:31,100%
2024-07-31 06:35:00,100%
2024-07-31 06:35:31,100%
2024-07-31 06:36:00,100%
2024-07-31 06:36:31,100%
2024-07-31 06:37:00,100%
2024-07-31 06:37:31,100%
2024-07-31 06:38:00,100%
2024-07-31 06:38:31,100%
2024-07-31 06:39:00,100%
2024-07-31 06:39:31,100%
2024-07-31 06:40:00,100%
2024-07-31 06:40:31,100%
2024-07-31 06:41:00,100%
2024-07-31 06:41:31,100%
2024-07-31 06:42:00,100%
2024-07-31 06:42:31,100%
2024-07-31 06:43:00,100%
2024-07-31 06:43:31,100%
2024-07-31 06:44:00,100%
2024-07-31 06:44:31,100%
2024-07-31 06:45:00,100%
2024-07-31 06:45:31,100%
2024-07-31 06:46:01,100%
2024-07-31 06:46:31,100%
2024-07-31 06:47:01,100%
2024-07-31 06:47:31,100%
2024-07-31 06:48:01,100%
2024-07-31 06:48:32,100%
2024-07-31 06:49:01,100%
2024-07-31 06:49:32,100%
2024-07-31 06:50:01,100%
2024-07-31 06:50:32,100%
2024-07-31 06:51:01,100%
2024-07-31 06:51:32,100%
2024-07-31 06:52:01,100%
2024-07-31 06:52:32,100%
2024-07-31 06:53:01,100%
2024-07-31 06:53:32,100%
2024-07-31 06:54:01,100%
2024-07-31 06:54:32,100%
2024-07-31 06:55:01,100%
2024-07-31 06:55:32,100%
2024-07-31 06:56:01,100%
2024-07-31 06:56:32,100%
2024-07-31 06:57:01,100%
2024-07-31 06:57:32,100%
2024-07-31 06:58:01,100%
2024-07-31 06:58:32,100%
2024-07-31 06:59:01,100%
2024-07-31 06:59:32,100%
2024-07-31 07:00:01,100%
2024-07-31 07:00:32,100%
2024-07-31 07:01:01,100%
2024-07-31 07:01:32,100%
2024-07-31 07:02:01,100%
2024-07-31 07:02:32,100%
2024-07-31 07:03:01,100%
2024-07-31 07:03:32,100%
2024-07-31 07:04:01,100%
2024-07-31 07:04:32,100%
2024-07-31 07:05:01,100%
2024-07-31 07:05:32,100%
2024-07-31 07:06:01,100%
2024-07-31 07:06:32,100%
2024-07-31 07:07:01,100%
2024-07-31 07:07:32,100%
2024-07-31 07:08:02,100%
2024-07-31 07:08:32,100%
2024-07-31 07:09:02,100%
2024-07-31 07:09:32,100%
2024-07-31 07:10:02,100%
2024-07-31 07:10:32,100%
2024-07-31 07:11:02,100%
2024-07-31 07:11:33,100%
2024-07-31 07:12:02,100%
2024-07-31 07:12:33,100%
2024-07-31 07:13:02,100%
2024-07-31 07:13:33,100%
2024-07-31 07:14:02,100%
2024-07-31 07:14:33,100%
2024-07-31 07:15:02,100%
2024-07-31 07:15:33,100%
2024-07-31 07:16:02,100%
2024-07-31 07:16:33,100%
2024-07-31 07:17:02,100%
2024-07-31 07:17:33,100%
2024-07-31 07:18:02,100%
2024-07-31 07:18:33,100%
2024-07-31 07:19:02,100%
2024-07-31 07:19:33,100%
2024-07-31 07:20:02,100%
2024-07-31 07:20:33,100%
2024-07-31 07:21:02,100%
2024-07-31 07:21:33,100%
2024-07-31 07:22:02,100%
2024-07-31 07:22:33,100%
2024-07-31 07:23:02,100%
2024-07-31 07:23:33,100%
2024-07-31 07:24:02,100%
2024-07-31 07:24:33,100%
2024-07-31 07:25:02,100%
2024-07-31 07:25:33,100%
2024-07-31 07:26:02,100%
2024-07-31 07:26:33,100%
2024-07-31 07:27:02,100%
2024-07-31 07:27:33,100%
2024-07-31 07:28:02,100%
2024-07-31 07:28:33,100%
2024-07-31 07:29:02,100%
2024-07-31 07:29:33,100%
2024-07-31 07:30:02,100%
2024-07-31 07:30:33,100%
2024-07-31 07:31:03,100%
2024-07-31 07:31:33,100%
2024-07-31 07:32:03,100%
2024-07-31 07:32:33,100%
2024-07-31 07:33:03,100%
2024-07-31 07:33:34,100%
2024-07-31 07:34:03,100%
2024-07-31 07:34:34,100%
2024-07-31 07:35:03,100%
2024-07-31 07:35:34,100%
2024-07-31 07:36:03,100%
2024-07-31 07:36:34,100%
2024-07-31 07:37:03,100%
2024-07-31 07:37:34,100%
2024-07-31 07:38:03,100%
2024-07-31 07:38:34,100%
2024-07-31 07:39:03,100%
2024-07-31 07:39:34,100%
2024-07-31 07:40:03,100%
2024-07-31 07:40:34,100%
2024-07-31 07:41:03,100%
2024-07-31 07:41:34,100%
2024-07-31 07:42:03,100%
2024-07-31 07:42:34,100%
2024-07-31 07:43:03,100%
2024-07-31 07:43:34,100%
2024-07-31 07:44:03,100%
2024-07-31 07:44:34,100%
2024-07-31 07:45:03,100%
2024-07-31 07:45:34,100%
2024-07-31 07:46:03,100%
2024-07-31 07:46:34,100%
2024-07-31 07:47:03,100%
2024-07-31 07:47:34,100%
2024-07-31 07:48:03,100%
2024-07-31 07:48:34,100%
2024-07-31 07:49:03,100%
2024-07-31 07:49:34,100%
2024-07-31 07:50:03,100%
2024-07-31 07:50:34,100%
2024-07-31 07:51:03,100%
2024-07-31 07:51:34,100%
2024-07-31 07:52:03,100%
2024-07-31 07:52:34,100%
